"date","time","in_out","ID1","behavior"
"16/02/2018","9:48:49","in","Tushi","infant-walk"
"16/02/2018","9:51:12","in","Morami","infant-walk"
"16/02/2018","9:52:07","in","Moniek","infant-walk"
"20/02/2018","13:57:29","in","Morami","infant-walk"
"23/02/2018","13:51:31","in","Moni","infant-walk"
"23/02/2018","14:21:33","in","Morami","infant-walk"
"23/02/2018","14:25:36","in","Morami","infant-walk"
"23/02/2018","14:29:47","in","Morami","infant-walk"
"23/02/2018","15:09:15","in","Jimmie","infant-walk"
"27/02/2018","9:22:53","in","Morami","infant-walk"
"27/02/2018","9:26:53","in","Morami","infant-walk"
"27/02/2018","9:29:17","in","Morami","infant-walk"
"27/02/2018","10:22:58","in","Morami","infant-walk"
"27/02/2018","10:37:09","in","Morami","infant-walk"
"02/03/2018","9:40:07","in","Morami","infant-walk"
"02/03/2018","10:42:56","in","Moni","infant-walk"
"02/03/2018","10:50:47","in","Moniek","infant-walk"
"02/03/2018","10:58:23","in","Morami","infant-walk"
"05/03/2018","14:52:15","in","Morami","infant-walk"
"05/03/2018","14:54:03","in","Morami","infant-walk"
"05/03/2018","14:56:30","in","Morami","infant-walk"
"05/03/2018","15:08:41","in","Moni","infant-walk"
"05/03/2018","15:13:21","in","Morami","infant-walk"
"08/03/2018","12:38:42","in","Morami","infant-walk"
"08/03/2018","12:56:19","in","Moniek","infant-walk"
"08/03/2018","12:57:36","in","Morami","infant-walk"
"08/03/2018","12:59:35","in","Morami","infant-walk"
"08/03/2018","12:59:48","in","Moniek","infant-walk"
"08/03/2018","13:01:02","in","Moniek","infant-walk"
"08/03/2018","13:03:41","in","Morami","infant-walk"
"08/03/2018","13:06:46","in","Morami","infant-walk"
"09/03/2018","9:19:12","in","Moni","infant-walk"
"09/03/2018","9:24:02","in","Moni","infant-walk"
"09/03/2018","9:25:17","in","Moniek","infant-walk"
"09/03/2018","9:28:23","in","Morami","infant-walk"
"09/03/2018","9:31:50","in","Morami","infant-walk"
"09/03/2018","10:14:49","in","Moni","infant-walk"
"09/03/2018","10:17:50","in","Moniek","infant-walk"
"09/03/2018","10:25:47","in","Moni","infant-walk"
"12/03/2018","11:12:26","out","Morami","infant-walk"
"12/03/2018","11:15:51","out","Morami","infant-walk"
"12/03/2018","11:21:20","out","Moniek","infant-walk"
"12/03/2018","11:21:34","out","Morami","infant-walk"
"12/03/2018","11:26:52","out","Moniek","infant-walk"
"12/03/2018","11:27:44","out","Morami","infant-walk"
"12/03/2018","11:27:46","out","Moniek","infant-walk"
"12/03/2018","11:28:56","out","Moniek","infant-walk"
"12/03/2018","11:35:44","out","Moniek","infant-walk"
"12/03/2018","11:41:20","out","Morami","infant-walk"
"12/03/2018","11:43:18","out","Moni","infant-walk"
"13/03/2018","13:10:01","in","Morami","infant-walk"
"22/03/2018","12:59:42","in","Morami","infant-walk"
"22/03/2018","12:59:49","in","Moniek","infant-walk"
"22/03/2018","13:00:08","in","Roosje","infant-walk"
"22/03/2018","13:04:21","in","Roosje","infant-walk"
"22/03/2018","13:09:20","in","Moni","infant-walk"
"23/03/2018","14:04:39","out","Roosje","infant-walk"
"23/03/2018","14:05:33","out","Morami","infant-walk"
"23/03/2018","14:19:45","in","Morami","infant-walk"
"23/03/2018","15:24:46","in","Morami","infant-walk"
"26/03/2018","14:52:10","out","Moni","infant-walk"
"26/03/2018","15:15:50","out","Morami","infant-walk"
"26/03/2018","15:38:41","out","Moni","infant-walk"
"26/03/2018","15:51:15","in","Moni","infant-walk"
"27/03/2018","11:24:38","out","Moni","infant-walk"
"27/03/2018","11:27:51","out","Moni","infant-walk"
"27/03/2018","11:36:11","out","Moni","infant-walk"
"27/03/2018","11:48:15","out","Moniek","infant-walk"
"27/03/2018","11:48:18","out","Morami","infant-walk"
"27/03/2018","11:49:18","out","Roosje","infant-walk"
"27/03/2018","11:49:47","out","Moni","infant-walk"
"27/03/2018","11:57:08","out","Moni","infant-walk"
"27/03/2018","12:08:07","out","Moni","infant-walk"
"27/03/2018","12:08:10","out","Moniek","infant-walk"
"27/03/2018","12:19:34","out","Moni","infant-walk"
"27/03/2018","12:23:01","out","Moni","infant-walk"
"27/03/2018","12:25:25","out","Moni","infant-walk"
"27/03/2018","12:41:23","out","Moniek","infant-walk"
"27/03/2018","12:41:26","out","Morami","infant-walk"
"27/03/2018","12:41:28","out","Moni","infant-walk"
"27/03/2018","12:47:09","out","Moni","infant-walk"
"29/03/2018","13:40:48","in","Morami","infant-walk"
